2012-10-13 17:59:20 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-10-14 20:39:49 Notice: Notice (8): Undefined variable: price in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 485]
2012-10-14 20:39:49 Notice: Notice (8): Undefined variable: price in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 488]
2012-10-15 09:15:19 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-10-15 15:12:45 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-10-16 11:07:16 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-10-16 11:07:16 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-10-16 11:07:16 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 534]
2012-10-17 01:43:55 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-10-17 11:22:33 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-10-17 11:22:33 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-10-17 11:22:33 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 534]
2012-10-19 11:27:24 Notice: Notice (8): ob_clean() [<a href='ref.outcontrol'>ref.outcontrol</a>]: failed to delete buffer. No buffer to delete in [/home/fivedoll/public_html/fivedollarwork/app/controllers/components/captcha.php, line 34]
2012-10-19 23:11:48 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-10-20 20:06:23 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-10-22 01:53:39 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-10-23 09:38:23 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-10-23 11:23:34 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-10-23 11:23:34 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-10-23 11:23:34 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 534]
2012-10-23 15:15:55 Notice: Notice (8): ob_clean() [<a href='ref.outcontrol'>ref.outcontrol</a>]: failed to delete buffer. No buffer to delete in [/home/fivedoll/public_html/fivedollarwork/app/controllers/components/captcha.php, line 34]
2012-10-23 16:24:31 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-10-24 14:52:56 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-10-24 14:52:56 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-10-24 14:52:56 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 534]
2012-10-25 22:46:06 Notice: Notice (8): Undefined variable: price in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 485]
2012-10-25 22:46:06 Notice: Notice (8): Undefined variable: price in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 488]
2012-10-26 04:16:03 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-10-26 13:31:24 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-10-26 16:05:09 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-10-28 15:48:11 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-10-28 19:06:54 Notice: Notice (8): ob_clean() [<a href='ref.outcontrol'>ref.outcontrol</a>]: failed to delete buffer. No buffer to delete in [/home/fivedoll/public_html/fivedollarwork/app/controllers/components/captcha.php, line 34]
2012-10-29 01:24:03 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-10-29 10:38:08 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
